Company Name,NSE,NSE CODE
Praj Industries Ltd.,PRAJIND.NS,PRAJIND
Suprajit Engineering Ltd.,SUPRAJIT.NS,SUPRAJIT
The India Cements Ltd.,INDIACEM.NS,INDIACEM
RHI Magnesita India Ltd.,RHIM.NS,RHIM
EKI Energy Services Ltd.,.NS,
Godfrey Phillips India Ltd.,GODFRYPHLP.NS,GODFRYPHLP
CCL Products (India) Ltd.,CCL.NS,CCL
Polyplex Corporation Ltd.,POLYPLEX.NS,POLYPLEX
Go Fashion (India) Ltd.,GOCOLORS.NS,GOCOLORS
Triveni Turbine Ltd.,TRITURBINE.NS,TRITURBINE
Easy Trip Planners Ltd.,EASEMYTRIP.NS,EASEMYTRIP
KRBL Ltd.,KRBL.NS,KRBL
Vijaya Diagnostic Centre Ltd.,VIJAYA.NS,VIJAYA
Tatva Chintan Pharma Chem Ltd.,TATVA.NS,TATVA
Transport Corporation Of India Ltd.,TCI.NS,TCI
Apollo Tricoat Tubes Ltd.,.NS,
Burger King India Ltd.,BURGERKING.NS,BURGERKING
Johnson Controls - Hitachi Air Conditioning India Ltd.,JCHAC.NS,JCHAC
Mazagon Dock Shipbuilders Ltd.,MAZDOCK.NS,MAZDOCK
Kalpataru Power Transmission Ltd.,KALPATPOWR.NS,KALPATPOWR
Thyrocare Technologies Ltd.,THYROCARE.NS,THYROCARE
Triveni Engineering & Industries Ltd.,TRIVENI.NS,TRIVENI
Infibeam Avenues Ltd.,INFIBEAM.NS,INFIBEAM
Greenpanel Industries Ltd.,GREENPANEL.NS,GREENPANEL
Rallis India Ltd.,RALLIS.NS,RALLIS
Barbeque-Nation Hospitality Ltd.,BARBEQUE.NS,BARBEQUE
Esab India Ltd.,ESABINDIA.NS,ESABINDIA
JBM Auto Ltd.,JBMA.NS,JBMA
Jyothy Labs Ltd.,JYOTHYLAB.NS,JYOTHYLAB
Varroc Engineering Ltd.,VARROC.NS,VARROC
Heidelberg Cement India Ltd.,HEIDELBERG.NS,HEIDELBERG
FDC Ltd.,FDC.NS,FDC
Ceat Ltd.,CEATLTD.NS,CEATLTD
TCNS Clothing Co. Ltd.,TCNSBRANDS.NS,TCNSBRANDS
Gujarat State Fertilizers & Chemicals Ltd.,GSFC.NS,GSFC
VST Industries Ltd.,VSTIND.NS,VSTIND
Mahindra Logistics Ltd.,MAHLOG.NS,MAHLOG
Indo Count Industries Ltd.,ICIL.NS,ICIL
Aarti Drugs Ltd.,AARTIDRUGS.NS,AARTIDRUGS
Tejas Networks Ltd.,TEJASNET.NS,TEJASNET
Gujarat Pipavav Port Ltd.,GPPL.NS,GPPL
La Opala RG Ltd.,LAOPALA.NS,LAOPALA
Craftsman Automation Ltd.,CRAFTSMAN.NS,CRAFTSMAN
Shilpa Medicare Ltd.,SHILPAMED.NS,SHILPAMED
Borosil Ltd.,BOROLTD.NS,BOROLTD
Welspun Corp Ltd.,WELCORP.NS,WELCORP
Gujarat Alkalies And Chemicals Ltd.,GUJALKALI.NS,GUJALKALI
IFB Industries Ltd.,IFBIND.NS,IFBIND
Jindal Poly Films Ltd.,JINDALPOLY.NS,JINDALPOLY
Reliance Power Ltd.,RPOWER.NS,RPOWER
Vakrangee Ltd.,VAKRANGEE.NS,VAKRANGEE
Deepak Fertilisers And Petrochemicals Corporation Ltd.,DEEPAKFERT.NS,DEEPAKFERT
JSW Holdings Ltd.,JSWHL.NS,JSWHL
Chalet Hotels Ltd.,CHALET.NS,CHALET
ISGEC Heavy Engineering Ltd.,ISGEC.NS,ISGEC
Tega Industries Ltd.,TEGA.NS,TEGA
Bharat Rasayan Ltd.,BHARATRAS.NS,BHARATRAS
Cochin Shipyard Ltd.,COCHINSHIP.NS,COCHINSHIP
Jindal Worldwide Ltd.,JINDWORLD.NS,JINDWORLD
Jaiprakash Power Ventures Ltd.,JPPOWER.NS,JPPOWER
PDS Multinational Fashions Ltd.,PDSMFL.NS,PDSMFL
Wockhardt Ltd.,WOCKPHARMA.NS,WOCKPHARMA
The Great Eastern Shipping Company Ltd.,GESHIP.NS,GESHIP
MOIL Ltd.,MOIL.NS,MOIL
Maharashtra Scooters Ltd.,MAHSCOOTER.NS,MAHSCOOTER
Inox Leisure Ltd.,INOXLEISUR.NS,INOXLEISUR
PCBL Ltd.,PHILIPCARB.NS,PHILIPCARB
NCC Ltd.,NCC.NS,NCC
Greenlam Industries Ltd.,GREENLAM.NS,GREENLAM
Ircon International Ltd.,IRCON.NS,IRCON
KSB Ltd.,KSB.NS,KSB
Jamna Auto Industries Ltd.,JAMNAAUTO.NS,JAMNAAUTO
Raymond Ltd.,RAYMOND.NS,RAYMOND
Nesco Ltd.,NESCO.NS,NESCO
SpiceJet Ltd.,SPICEJET.NS,SPICEJET
Religare Enterprises Ltd.,RELIGARE.NS,RELIGARE
Strides Pharma Science Ltd.,STAR.NS,STAR
Rashtriya Chemicals and Fertilizers Ltd.,RCF.NS,RCF
Indoco Remedies Ltd.,INDOCO.NS,INDOCO
Hindustan Foods Ltd.,HNDFDS.NS,HNDFDS
Sequent Scientific Ltd.,SEQUENT.NS,SEQUENT
RateGain Travel Technologies Ltd.,RATEGAIN.NS,RATEGAIN
CSB Bank Ltd.,CSBBANK.NS,CSBBANK
Newgen Software Technologies Ltd.,NEWGEN.NS,NEWGEN
Minda Corporation Ltd.,MINDACORP.NS,MINDACORP
Tata Coffee Ltd.,TATACOFFEE.NS,TATACOFFEE
Engineers India Ltd.,ENGINERSIN.NS,ENGINERSIN
Sansera Engineering Ltd.,SANSERA.NS,SANSERA
VRL Logistics Ltd.,VRLLOG.NS,VRLLOG
R Systems International Ltd.,RSYSTEMS.NS,RSYSTEMS
Sudarshan Chemical Industries Ltd.,SUDARSCHEM.NS,SUDARSCHEM
Kennametal India Ltd.,KENNAMET.NS,KENNAMET
CarTrade Tech Ltd.,CARTRADE.NS,CARTRADE
Neogen Chemicals Ltd.,NEOGEN.NS,NEOGEN
H.G. Infra Engineering Ltd.,HGINFRA.NS,HGINFRA
Hathway Cable & Datacom Ltd.,HATHWAY.NS,HATHWAY
Star Cement Ltd.,STARCEMENT.NS,STARCEMENT
Equitas Holdings Ltd.,EQUITAS.NS,EQUITAS
Data Patterns (India) Ltd.,DATAPATTNS.NS,DATAPATTNS
Mahindra Holidays & Resorts India Ltd.,MHRIL.NS,MHRIL
Nocil Ltd.,NOCIL.NS,NOCIL
Gujarat Ambuja Exports Ltd.,GAEL.NS,GAEL
Venky'S (India) Ltd.,VENKEYS.NS,VENKEYS
Railtel Corporation Of India Ltd.,RAILTEL.NS,RAILTEL
Uflex Ltd.,UFLEX.NS,UFLEX
Solara Active Pharma Sciences Ltd.,SOLARA.NS,SOLARA
Man InfraConstruction Ltd.,MANINFRA.NS,MANINFRA
Shoppers Stop Ltd.,SHOPERSTOP.NS,SHOPERSTOP
Swan Energy Ltd.,SWANENERGY.NS,SWANENERGY
Gateway Distriparks Ltd.,GDL.NS,GDL
India Pesticides Ltd.,IPL.NS,IPL
Ingersoll-Rand (India) Ltd.,INGERRAND.NS,INGERRAND
Nilkamal Ltd.,NILKAMAL.NS,NILKAMAL
Arvind Fashions Ltd.,ARVINDFASN.NS,ARVINDFASN
Advanced Enzyme Technologies Ltd.,ADVENZYMES.NS,ADVENZYMES
Dish TV India Ltd.,DISHTV.NS,DISHTV
Hemisphere Properties India Ltd.,HEMIPROP.NS,HEMIPROP
Lemon Tree Hotels Ltd.,LEMONTREE.NS,LEMONTREE
Somany Ceramics Ltd.,SOMANYCERA.NS,SOMANYCERA
Karur Vysya Bank Ltd.,KARURVYSYA.NS,KARURVYSYA
AMI Organics Ltd.,AMIORG.NS,AMIORG
MAS Financial Services Ltd.,MASFIN.NS,MASFIN
IFCI Ltd.,IFCI.NS,IFCI
GHCL Ltd.,GHCL.NS,GHCL
RattanIndia Power Ltd.,RTNPOWER.NS,RTNPOWER
JK Tyre & Industries Ltd.,JKTYRE.NS,JKTYRE
Globus Spirits Ltd.,GLOBUSSPR.NS,GLOBUSSPR
Mahindra Lifespace Developers Ltd.,MAHLIFE.NS,MAHLIFE
GRM Overseas Ltd.,.NS,
Godawari Power And Ispat Ltd.,GPIL.NS,GPIL
JK Paper Ltd.,JKPAPER.NS,JKPAPER
Raghuvir Synthetics Ltd.,.NS,
Tarsons Products Ltd.,TARSONS.NS,TARSONS
HMT Ltd.,HMT.NS,HMT
Share India Securities Ltd.,SHAREINDIA.NS,SHAREINDIA
Dhanuka Agritech Ltd.,DHANUKA.NS,DHANUKA
Sindhu Trade Links Ltd.,.NS,
HIL Ltd.,HIL.NS,HIL
Maharashtra Seamless Ltd.,MAHSEAMLES.NS,MAHSEAMLES
The Jammu & Kashmir Bank Ltd.,J&KBANK.NS,J&KBANK
Mishra Dhatu Nigam Ltd.,MIDHANI.NS,MIDHANI
Nirlon Ltd.,NIRLON.NS,NIRLON
Surya Roshni Ltd.,SURYAROSNI.NS,SURYAROSNI
Orient Cement Ltd.,ORIENTCEM.NS,ORIENTCEM
Tasty Bite Eatables Ltd.,TASTYBITE.NS,TASTYBITE
ICRA Ltd.,ICRA.NS,ICRA
GE T&D India Ltd.,GET&D.NS,GET&D
Tata Steel Long Products Ltd.,TATASTLLP.NS,TATASTLLP
Bannari Amman Sugars Ltd.,BANARISUG.NS,BANARISUG
Rupa & Company Ltd.,RUPA.NS,RUPA
Lloyds Metals & Energy Ltd.,LLOYDMETAL.NS,LLOYDMETAL
Dodla Dairy Ltd,DODLA.NS,DODLA
Puravankara Ltd.,PURVA.NS,PURVA
Fino Payments Bank Ltd.,FINOPB.NS,FINOPB
Greaves Cotton Ltd.,GREAVESCOT.NS,GREAVESCOT
Indostar Capital Finance Ltd.,INDOSTAR.NS,INDOSTAR
Jindal Saw Ltd.,JINDALSAW.NS,JINDALSAW
Ujjivan Small Finance Bank Ltd.,UJJIVANSFB.NS,UJJIVANSFB
Healthcare Global Enterprises Ltd.,HCG.NS,HCG
PTC India Ltd.,PTC.NS,PTC
Kaveri Seed Company Ltd.,KSCL.NS,KSCL
Meghmani Finechem Ltd,MFL.NS,MFL
Supriya Lifescience Ltd.,SUPRIYA.NS,SUPRIYA
Stove Kraft Ltd.,STOVEKRAFT.NS,STOVEKRAFT
Sagar Cements Ltd.,SAGCEM.NS,SAGCEM
Hawkins Cookers Ltd.,HAWKINCOOK.NS,HAWKINCOOK
Dishman Carbogen Amcis Ltd.,DCAL.NS,DCAL
Rolex Rings Ltd,ROLEXRINGS.NS,ROLEXRINGS
Ion Exchange (India) Ltd.,IONEXCHANG.NS,IONEXCHANG
Dalmia Bharat Sugar And Industries Ltd.,DALMIASUG.NS,DALMIASUG
India Tourism Development Corporation Ltd.,ITDC.NS,ITDC
Sharda Cropchem Ltd.,SHARDACROP.NS,SHARDACROP
Somany Home Innovation Ltd.,SHIL.NS,SHIL
Arvind Ltd.,ARVIND.NS,ARVIND
Ramkrishna Forgings Ltd.,RKFORGE.NS,RKFORGE
Subex Ltd.,SUBEXLTD.NS,SUBEXLTD
Apar Industries Ltd.,APARINDS.NS,APARINDS
GTPL Hathway Ltd.,GTPL.NS,GTPL
Bajaj Consumer Care Ltd.,BAJAJCON.NS,BAJAJCON
Paras Defence And Space Technologies Ltd.,PARAS.NS,PARAS
Authum Investment & Infrastructure Ltd.,.NS,
Spandana Sphoorty Financial Ltd.,SPANDANA.NS,SPANDANA
Paushak Ltd.,.NS,
Elantas Beck India Ltd.,DRBECK.NS,DRBECK
Astec Lifesciences Ltd.,ASTEC.NS,ASTEC
Responsive Industries Ltd.,RESPONIND.NS,RESPONIND
Kirloskar Pneumatic Company Ltd.,KGKHOSLA.NS,KGKHOSLA
Tinplate Company Of India Ltd.,TINPLATE.NS,TINPLATE
Kirloskar Ferrous Industries Ltd.,KIRLFER.NS,KIRLFER
Meghmani Organics Ltd.,MOL.NS,MOL
Maithan Alloys Ltd.,MAITHANALL.NS,MAITHANALL
PTC Industries Ltd.,.NS,
Valiant Organics Ltd.,VALIANTORG.NS,VALIANTORG
Sarda Energy & Minerals Ltd.,SARDAEN.NS,SARDAEN
Ashoka Buildcon Ltd.,ASHOKA.NS,ASHOKA
Paisalo Digital Ltd.,PAISALO.NS,PAISALO
Bhansali Engineering Polymers Ltd.,BEPL.NS,BEPL
IOL Chemicals And Pharmaceuticals Ltd.,IOLCP.NS,IOLCP
Alembic Ltd.,ALEMBICLTD.NS,ALEMBICLTD
Ahluwalia Contracts (India) Ltd.,AHLUCONT.NS,AHLUCONT
Usha Martin Ltd.,USHAMART.NS,USHAMART
Inox Wind Ltd.,INOXWIND.NS,INOXWIND
Seamec Ltd.,SEAMECLTD.NS,SEAMECLTD
Future Retail Ltd.,FRETAIL.NS,FRETAIL
Kirloskar Brothers Ltd.,KIRLOSBROS.NS,KIRLOSBROS
IIFL Securities Ltd.,IIFLSEC.NS,IIFLSEC
Amrutanjan Health Care Ltd.,AMRUTANJAN.NS,AMRUTANJAN
Black Box Ltd.,BBOX.NS,BBOX
Tata Metaliks Ltd.,TATAMETALI.NS,TATAMETALI
Optiemus Infracom Ltd.,OPTIEMUS.NS,OPTIEMUS
Heranba Industries Ltd.,HERANBA.NS,HERANBA
Techno Electric & Engineering Company Ltd.,TECHNOE.NS,TECHNOE
Steel Strips Wheels Ltd.,SSWL.NS,SSWL
Action Construction Equipment Ltd.,ACE.NS,ACE
Cosmo Films Ltd.,COSMOFILMS.NS,COSMOFILMS
Kirloskar Oil Engines Ltd.,KIRLOSENG.NS,KIRLOSENG
Tide Water Oil Company (India) Ltd.,TIDEWATER.NS,TIDEWATER
Indian Metals & Ferro Alloys Ltd.,IMFA.NS,IMFA
TV Today Network Ltd.,TVTODAY.NS,TVTODAY
Morepen Laboratories Ltd.,MOREPENLAB.NS,MOREPENLAB
Hindustan Construction Company Ltd.,HCC.NS,HCC
Jaiprakash Associates Ltd.,JPASSOCIAT.NS,JPASSOCIAT
Reliance Infrastructure Ltd.,RELINFRA.NS,RELINFRA
Schneider Electric Infrastructure Ltd.,SCHNEIDER.NS,SCHNEIDER
Mayur Uniquoters Ltd.,MAYURUNIQ.NS,MAYURUNIQ
National Fertilizers Ltd.,NFL.NS,NFL
Greenply Industries Ltd.,GREENPLY.NS,GREENPLY
LT Foods Ltd.,DAAWAT.NS,DAAWAT
GTL Infrastructure Ltd.,GTLINFRA.NS,GTLINFRA
DCB Bank Ltd.,DCBBANK.NS,DCBBANK
Marksans Pharma Ltd.,MARKSANS.NS,MARKSANS
Mahanagar Telephone Nigam Ltd.,MTNL.NS,MTNL
Garden Reach Shipbuilders & Engineers Ltd.,GRSE.NS,GRSE
Hindustan Oil Exploration Company Ltd.,HINDOILEXP.NS,HINDOILEXP
Bengal & Assam Company Ltd.,.NS,
Mold-Tek Packaging Ltd.,MOLDTKPAC.NS,MOLDTKPAC
India Glycols Ltd.,INDIAGLYCO.NS,INDIAGLYCO
INEOS Styrolution India Ltd.,INEOSSTYRO.NS,INEOSSTYRO
Anand Rathi Wealth Ltd.,ANANDRATHI.NS,ANANDRATHI
Dollar Industries Ltd.,DOLLAR.NS,DOLLAR
GATI Ltd.,GATI.NS,GATI
Oriental Aromatics Ltd.,OAL.NS,OAL
Thirumalai Chemicals Ltd.,TIRUMALCHM.NS,TIRUMALCHM
Jayaswal Neco Industries Ltd.,JAYNECOIND.NS,JAYNECOIND
Subros Ltd.,SUBROS.NS,SUBROS
V.S.T. Tillers Tractors Ltd.,VSTTILLERS.NS,VSTTILLERS
Sharda Motor Industries Ltd.,SHARDAMOTR.NS,SHARDAMOTR
Bombay Dyeing And Manufacturing Company Ltd.,BOMDYEING.NS,BOMDYEING
MSTC Ltd.,MSTCLTD.NS,MSTCLTD
Gufic Biosciences Ltd.,GUFICBIO.NS,GUFICBIO
Everest Kanto Cylinder Ltd.,EKC.NS,EKC
Agro Tech Foods Ltd.,ATFL.NS,ATFL
Tips Industries Ltd.,TIPSINDLTD.NS,TIPSINDLTD
Sandur Manganese & Iron Ores Ltd.,.NS,
Thomas Cook (India) Ltd.,THOMASCOOK.NS,THOMASCOOK
Best Agrolife Ltd.,BESTAGRO.NS,BESTAGRO
Gujarat Mineral Development Corporation Ltd.,GMDCLTD.NS,GMDCLTD
Kolte-Patil Developers Ltd.,KOLTEPATIL.NS,KOLTEPATIL
Acrysil Ltd.,ACRYSIL.NS,ACRYSIL
Pokarna Ltd.,POKARNA.NS,POKARNA
Jai Corp Ltd.,JAICORPLTD.NS,JAICORPLTD
Goodyear India Ltd.,GOODYEAR.NS,GOODYEAR
Anant Raj Ltd.,ANANTRAJ.NS,ANANTRAJ
Himatsingka Seide Ltd.,HIMATSEIDE.NS,HIMATSEIDE
JTEKT India Ltd.,JTEKTINDIA.NS,JTEKTINDIA
Automotive Axles Ltd.,AUTOAXLES.NS,AUTOAXLES
Ramco Industries Ltd.,RAMCOIND.NS,RAMCOIND
Confidence Petroleum India Ltd.,CONFIPET.NS,CONFIPET
Mrs. Bectors Food Specialities Ltd.,BECTORFOOD.NS,BECTORFOOD
Vesuvius India Ltd.,VESUVIUS.NS,VESUVIUS
Gulf Oil Lubricants India Ltd.,GULFOILLUB.NS,GULFOILLUB
Filatex India Ltd.,FILATEX.NS,FILATEX
Eveready Industries India Ltd.,EVEREADY.NS,EVEREADY
Hester Biosciences Ltd.,HESTERBIO.NS,HESTERBIO
Elecon Engineering Company Ltd.,ELECON.NS,ELECON
Fairchem Organics Ltd.,FAIRCHEMOR.NS,FAIRCHEMOR
Wardwizard Innovations & Mobility Ltd.,.NS,
SH Kelkar And Company Ltd.,SHK.NS,SHK
IG Petrochemicals Ltd.,IGPL.NS,IGPL
Krsnaa Diagnostics Ltd.,KRSNAA.NS,KRSNAA
Apollo Pipes Ltd.,APOLLOPIPE.NS,APOLLOPIPE
Jain Irrigation Systems Ltd.,JISLJALEQS.NS,JISLJALEQS
Butterfly Gandhimathi Appliances Ltd.,BUTTERFLY.NS,BUTTERFLY
Media Matrix Worldwide Ltd,MMWL.NS,MMWL
Pilani Investment And Industries Corporation Ltd.,PILANIINVS.NS,PILANIINVS
Astra Microwave Products Ltd.,ASTRAMICRO.NS,ASTRAMICRO
Prime Focus Ltd.,PFOCUS.NS,PFOCUS
Rajratan Global Wire Ltd.,RAJRATAN.NS,RAJRATAN
Gabriel India Ltd.,GABRIEL.NS,GABRIEL
Voltamp Transformers Ltd.,VOLTAMP.NS,VOLTAMP
Gokaldas Exports Ltd.,GOKEX.NS,GOKEX
Matrimony.Com Ltd.,MATRIMONY.NS,MATRIMONY
Navneet Education Ltd.,NAVNETEDUL.NS,NAVNETEDUL
Sasken Technologies Ltd.,SASKEN.NS,SASKEN
Dhampur Sugar Mills Ltd.,DHAMPURSUG.NS,DHAMPURSUG
LG Balakrishnan & Bros Ltd.,LGBBROSLTD.NS,LGBBROSLTD
Den Networks Ltd.,DEN.NS,DEN
Siyaram Silk Mills Ltd.,SIYSIL.NS,SIYSIL
Neuland Laboratories Ltd.,NEULANDLAB.NS,NEULANDLAB
Technocraft Industries (India) Ltd.,TIIL.NS,TIIL
Gravita India Ltd.,GRAVITA.NS,GRAVITA
Balmer Lawrie & Company Ltd.,BALMLAWRIE.NS,BALMLAWRIE
Swaraj Engines Ltd.,SWARAJENG.NS,SWARAJENG
Safari Industries (India) Ltd.,SAFARI.NS,SAFARI
BLS International Services Ltd.,BLS.NS,BLS
Prataap Snacks Ltd.,DIAMONDYD.NS,DIAMONDYD
VA Tech Wabag Ltd.,WABAG.NS,WABAG
Bajaj Hindusthan Sugar Ltd.,BAJAJHIND.NS,BAJAJHIND
Novartis India Ltd.,NOVARTIND.NS,NOVARTIND
RPSG Ventures Ltd.,RPSGVENT.NS,RPSGVENT
Shriram Pistons & Rings Ltd,SHRIPISTON.NS,SHRIPISTON
The Karnataka Bank Ltd.,KTKBANK.NS,KTKBANK
Garware Hi-Tech Films Ltd.,GARWARPOLY.NS,GARWARPOLY
Vidhi Specialty Food Ingredients Ltd.,VIDHIING.NS,VIDHIING
Kiri Industries Ltd.,KIRIINDUS.NS,KIRIINDUS
The Andhra Sugars Ltd.,ANDHRSUGAR.NS,ANDHRSUGAR
Sportking India Ltd.,.NS,
Manali Petrochemicals Ltd.,MANALIPETC.NS,MANALIPETC
The South Indian Bank Ltd.,SOUTHBANK.NS,SOUTHBANK
Heritage Foods Ltd.,HERITGFOOD.NS,HERITGFOOD
Max Ventures And Industries Ltd.,MAXVIL.NS,MAXVIL
Apcotex Industries Ltd.,APCOTEXIND.NS,APCOTEXIND
Thangamayil Jewellery Ltd.,THANGAMAYL.NS,THANGAMAYL
Nahar Spinning Mills Ltd.,NAHARSPING.NS,NAHARSPING
Himadri Speciality Chemical Ltd.,HSCL.NS,HSCL
Kovai Medical Center & Hospital Ltd.,KOVAI.NS,KOVAI
Stylam Industries Ltd.,STYLAMIND.NS,STYLAMIND
Expleo Solutions Ltd.,EXPLEOSOL.NS,EXPLEOSOL
MM Forgings Ltd.,MMFL.NS,MMFL
Care Ratings Ltd.,CARERATING.NS,CARERATING
Mukand Ltd.,MUKANDLTD.NS,MUKANDLTD
Goldiam International Ltd.,GOLDIAM.NS,GOLDIAM
India Power Corporation Ltd.,DPSCLTD.NS,DPSCLTD
HBL Power Systems Ltd.,HBLPOWER.NS,HBLPOWER
Datamatics Global Services Ltd.,DATAMATICS.NS,DATAMATICS
Renaissance Global Ltd.,RGL.NS,RGL
Genus Power Infrastructures Ltd.,GENUSPOWER.NS,GENUSPOWER
Ashiana Housing Ltd.,ASHIANA.NS,ASHIANA
Geojit Financial Services Ltd.,GEOJITFSL.NS,GEOJITFSL
Zen Technologies Ltd.,ZENTEC.NS,ZENTEC
Sundaram Finance Holdings Ltd.,SUNDARMHLD.NS,SUNDARMHLD
NACL Industries Ltd.,NACLIND.NS,NACLIND
Unichem Laboratories Ltd.,UNICHEMLAB.NS,UNICHEMLAB
PSP Projects Ltd.,PSPPROJECT.NS,PSPPROJECT
Punjab Chemicals & Crop Protection Ltd.,PUNJABCHEM.NS,PUNJABCHEM
NGL Fine-Chem Ltd.,.NS,
Force Motors Ltd.,FORCEMOT.NS,FORCEMOT
Repco Home Finance Ltd.,REPCOHOME.NS,REPCOHOME
Shaily Engineering Plastics Ltd.,.NS,
GE Power India Ltd.,GEPIL.NS,GEPIL
PG Electroplast Ltd.,PGEL.NS,PGEL
Kingfa Science & Technology (India) Ltd.,KINGFA.NS,KINGFA
Time Technoplast Ltd.,TIMETECHNO.NS,TIMETECHNO
Huhtamaki India Ltd.,HUHTAMAKI.NS,HUHTAMAKI
Nelco Ltd.,NELCO.NS,NELCO
Manorama Industries Ltd.,.NS,
Nava Bharat Ventures Ltd.,NBVENTURES.NS,NBVENTURES
D.B. Corp Ltd.,DBCORP.NS,DBCORP
Orchid Pharma Ltd.,ORCHPHARMA.NS,ORCHPHARMA
Shivalik Rasayan Ltd.,SHIVALIK.NS,SHIVALIK
Ujjivan Financial Services Ltd.,UJJIVAN.NS,UJJIVAN
KCP Ltd.,KCP.NS,KCP
Jagran Prakashan Ltd.,JAGRAN.NS,JAGRAN
3I Infotech Ltd.,3IINFOLTD.NS,3IINFOLTD
Nucleus Software Exports Ltd.,NUCLEUS.NS,NUCLEUS
ADF Foods Ltd.,ADFFOODS.NS,ADFFOODS
TVS Srichakra Ltd.,TVSSRICHAK.NS,TVSSRICHAK
NRB Bearings Ltd.,NRBBEARING.NS,NRBBEARING
JSW Ispat Special Products Ltd.,JSWISPL.NS,JSWISPL
Suryoday Small Finance Bank Ltd.,SURYODAY.NS,SURYODAY
JMC Projects (India) Ltd.,JMCPROJECT.NS,JMCPROJECT
Steel Exchange India Ltd.,STEELXIND.NS,STEELXIND
West Coast Paper Mills Ltd.,WSTCSTPAPR.NS,WSTCSTPAPR
Lloyds Steels Industries Ltd.,LSIL.NS,LSIL
Panama Petrochem Ltd.,PANAMAPET.NS,PANAMAPET
Cigniti Technologies Ltd.,CIGNITITEC.NS,CIGNITITEC
Fineotex Chemical Ltd.,FCL.NS,FCL
GOCL Corporation Ltd.,GOCLCORP.NS,GOCLCORP
Mirza International Ltd.,MIRZAINT.NS,MIRZAINT
Chennai Petroleum Corporation Ltd.,CHENNPETRO.NS,CHENNPETRO
Kopran Ltd.,KOPRAN.NS,KOPRAN
Igarashi Motors India Ltd.,IGARASHI.NS,IGARASHI
Camlin Fine Sciences Ltd.,CAMLINFINE.NS,CAMLINFINE
Fiem Industries Ltd.,FIEMIND.NS,FIEMIND
Savita Oil Technologies Ltd.,SOTL.NS,SOTL
Indo Rama Synthetics (India) Ltd.,INDORAMA.NS,INDORAMA
Accelya Solutions India Ltd.,ACCELYA.NS,ACCELYA
Aptech Ltd.,APTECHT.NS,APTECHT
Kesoram Industries Ltd.,KESORAMIND.NS,KESORAMIND
Electrosteel Castings Ltd.,ELECTCAST.NS,ELECTCAST
Sastasundar Ventures Ltd.,SASTASUNDR.NS,SASTASUNDR
Sandhar Technologies Ltd.,SANDHAR.NS,SANDHAR
Ramco Systems Ltd.,RAMCOSYS.NS,RAMCOSYS
Dolat Algotech Ltd.,DOLATALGO.NS,DOLATALGO
Moschip Technologies Ltd.,.NS,
Wheels India Ltd.,WHEELS.NS,WHEELS
Shalby Ltd.,SHALBY.NS,SHALBY
Gallantt Ispat Ltd.,GALLISPAT.NS,GALLISPAT
GNA Axles Ltd.,GNA.NS,GNA
Ramky Infrastructure Ltd.,RAMKY.NS,RAMKY
Kirloskar Industries Ltd.,KIRLOSIND.NS,KIRLOSIND
Shivalik Bimetal Controls Ltd.,SBCL.NS,SBCL
Kabra Extrusiontechnik Ltd.,KABRAEXTRU.NS,KABRAEXTRU
Kewal Kiran Clothing Ltd.,KKCL.NS,KKCL
Shriram Properties Ltd.,SHRIRAMPPS.NS,SHRIRAMPPS
BF Utilities Ltd.,BFUTILITIE.NS,BFUTILITIE
Nitin Spinners Ltd.,NITINSPIN.NS,NITINSPIN
TARC Ltd.,TARC.NS,TARC
Future Consumer Ltd.,FCONSUMER.NS,FCONSUMER
DFM Foods Ltd.,DFMFOODS.NS,DFMFOODS
Asian Star Company Ltd.,.NS,
Kalyani Steels Ltd.,KSL.NS,KSL
GM Breweries Ltd.,GMBREW.NS,GMBREW
Nureca Ltd.,NURECA.NS,NURECA
The Orissa Minerals Development Company Ltd.,ORISSAMINE.NS,ORISSAMINE
Patel Engineering Ltd.,PATELENG.NS,PATELENG
SIRCA Paints India Ltd.,SIRCA.NS,SIRCA
Welspun Enterprises Ltd.,WELENT.NS,WELENT
Ugro Capital Ltd.,UGROCAP.NS,UGROCAP
Sanghi Industries Ltd.,SANGHIIND.NS,SANGHIIND
Pricol Ltd.,PRICOLLTD.NS,PRICOLLTD
HSIL Ltd.,HSIL.NS,HSIL
Centrum Capital Ltd.,CENTRUM.NS,CENTRUM
Tilaknagar Industries Ltd.,TI.NS,TI
Power Mech Projects Ltd.,POWERMECH.NS,POWERMECH
Bodal Chemicals Ltd.,BODALCHEM.NS,BODALCHEM
Sutlej Textiles And Industries Ltd.,SUTLEJTEX.NS,SUTLEJTEX
ITD Cementation India Ltd.,ITDCEM.NS,ITDCEM
Dwarikesh Sugar Industries Ltd.,DWARKESH.NS,DWARKESH
Dynamatic Technologies Ltd.,DYNAMATECH.NS,DYNAMATECH
Quick Heal Technologies Ltd.,QUICKHEAL.NS,QUICKHEAL
Alicon Castalloy Ltd.,ALICON.NS,ALICON
Honda India Power Products Ltd.,HONDAPOWER.NS,HONDAPOWER
Chemcon Speciality Chemicals Ltd.,CHEMCON.NS,CHEMCON
Insecticides (India) Ltd.,INSECTICID.NS,INSECTICID
Sangam (India) Ltd.,SANGAMIND.NS,SANGAMIND
Precision Camshafts Ltd.,PRECAM.NS,PRECAM
Omaxe Ltd.,OMAXE.NS,OMAXE
