Company Name,NSE,NSE CODE
Star Health and Allied Insurance Company Ltd.,STARHEALTH.NS,STARHEALTH
PI Industries Ltd.,PIIND.NS,PIIND
Astral Ltd.,ASTRAL.NS,ASTRAL
Steel Authority Of India Ltd.,SAIL.NS,SAIL
Page Industries Ltd.,PAGEIND.NS,PAGEIND
Gujarat Gas Ltd.,GUJGASLTD.NS,GUJGASLTD
Balkrishna Industries Ltd.,BALKRISIND.NS,BALKRISIND
PB Fintech Ltd.,POLICYBZR.NS,POLICYBZR
Cholamandalam Investment and Finance Company Ltd.,CHOLAFIN.NS,CHOLAFIN
Biocon Ltd.,BIOCON.NS,BIOCON
Sona BLW Precision Forgings Ltd.,SONACOMS.NS,SONACOMS
Aurobindo Pharma Ltd.,AUROPHARMA.NS,AUROPHARMA
Bank Of Baroda,BANKBARODA.NS,BANKBARODA
Hindustan Petroleum Corporation Ltd.,HINDPETRO.NS,HINDPETRO
Alkem Laboratories Ltd.,ALKEM.NS,ALKEM
Lupin Ltd.,LUPIN.NS,LUPIN
Hindustan Aeronautics Ltd.,HAL.NS,HAL
Punjab National Bank,PNB.NS,PNB
United Breweries Ltd.,UBL.NS,UBL
Bandhan Bank Ltd.,BANDHANBNK.NS,BANDHANBNK
Abbott India Ltd.,ABBOTINDIA.NS,ABBOTINDIA
ACC Ltd.,ACC.NS,ACC
Max Healthcare Institute Ltd.,MAXHEALTH.NS,MAXHEALTH
Voltas Ltd.,VOLTAS.NS,VOLTAS
Colgate-Palmolive (India) Ltd.,COLPAL.NS,COLPAL
Vodafone Idea Ltd.,IDEA.NS,IDEA
Tata Communications Ltd.,TATACOMM.NS,TATACOMM
Jindal Steel & Power Ltd.,JINDALSTEL.NS,JINDALSTEL
Adani Power Ltd.,ADANIPOWER.NS,ADANIPOWER
Indian Overseas Bank,IOB.NS,IOB
NMDC Ltd.,NMDC.NS,NMDC
Varun Beverages Ltd.,VBL.NS,VBL
Container Corporation Of India Ltd.,CONCOR.NS,CONCOR
Trent Ltd.,TRENT.NS,TRENT
Ashok Leyland Ltd.,ASHOKLEY.NS,ASHOKLEY
Honeywell Automation India Ltd.,HONAUT.NS,HONAUT
Aarti Industries Ltd.,AARTIIND.NS,AARTIIND
Polycab India Ltd.,POLYCAB.NS,POLYCAB
Minda Industries Ltd.,MINDAIND.NS,MINDAIND
Persistent Systems Ltd.,PERSISTENT.NS,PERSISTENT
Tata Teleservices (Maharashtra) Ltd.,TTML.NS,TTML
Dalmia Bharat Ltd.,DALBHARAT.NS,DALBHARAT
Tata Elxsi Ltd.,TATAELXSI.NS,TATAELXSI
Coforge Ltd.,COFORGE.NS,COFORGE
Oracle Financial Services Software Ltd.,OFSS.NS,OFSS
Yes Bank Ltd.,YESBANK.NS,YESBANK
Tube Investments of India Ltd.,TIINDIA.NS,TIINDIA
Indraprastha Gas Ltd.,IGL.NS,IGL
Max Financial Services Ltd.,MFSL.NS,MFSL
Deepak Nitrite Ltd.,DEEPAKNTR.NS,DEEPAKNTR
Dixon Technologies (India) Ltd.,DIXON.NS,DIXON
Shriram Transport Finance Company Ltd.,SRTRANSFIN.NS,SRTRANSFIN
Bharat Forge Ltd.,BHARATFORG.NS,BHARATFORG
Petronet LNG Ltd.,PETRONET.NS,PETRONET
Power Finance Corporation Ltd.,PFC.NS,PFC
Oberoi Realty Ltd.,OBEROIRLTY.NS,OBEROIRLTY
Relaxo Footwears Ltd.,RELAXO.NS,RELAXO
NHPC Ltd.,NHPC.NS,NHPC
AU Small Finance Bank Ltd.,AUBANK.NS,AUBANK
Zee Entertainment Enterprises Ltd.,ZEEL.NS,ZEEL
Kansai Nerolac Paints Ltd.,KANSAINER.NS,KANSAINER
MRF Ltd.,MRF.NS,MRF
Union Bank Of India,UNIONBANK.NS,UNIONBANK
Indian Railway Finance Corporation Ltd.,IRFC.NS,IRFC
Dr. Lal Pathlabs Ltd.,LALPATHLAB.NS,LALPATHLAB
Glaxosmithkline Pharmaceuticals Ltd.,GLAXO.NS,GLAXO
IDFC First Bank Ltd.,IDFCFIRSTB.NS,IDFCFIRSTB
TVS Motor Company Ltd.,TVSMOTOR.NS,TVSMOTOR
Aditya Birla Capital Ltd.,ABCAPITAL.NS,ABCAPITAL
Laurus Labs Ltd.,LAURUSLABS.NS,LAURUSLABS
3M India Ltd.,3MINDIA.NS,3MINDIA
Supreme Industries Ltd.,SUPREMEIND.NS,SUPREMEIND
GMR Infrastructure Ltd.,GMRINFRA.NS,GMRINFRA
Hatsun Agro Product Ltd.,HATSUN.NS,HATSUN
